,y_
754,-2.3228295714086826
755,-2.3326592547729086
756,-2.243168192810881
757,-2.259195948111933
758,-2.111699825521417
759,-2.3371122803233133
760,-2.29951839762305
761,-2.338859589615104
762,-2.3310127499552964
763,-2.317144708923304
764,-2.3495682700971634
765,-2.2812667740481167
766,-2.3207156613918203
767,-2.2720602232063185
768,-2.2481275352653407
769,-2.296082659030822
770,-2.2568319021596785
771,-2.363787366276547
772,-2.291092761407566
773,-2.3230100979812085
774,-2.341827128962482
775,-2.201172810116934
776,-2.265955698155244
777,-2.1788874499600133
778,-2.230832143416832
779,-2.190060498760085
780,-2.3534786853500904
781,-2.391135380188305
782,-2.4217679312745926
783,-2.323111287305879
784,-2.2771672997530152
785,-2.3651594999884593
786,-2.3598276558246196
787,-2.3787926483399073
788,-2.346795151255656
789,-2.272923174377364
790,-2.364191440043095
791,-2.3482428403772486
792,-2.357891635822729
793,-2.3252736816672224
794,-2.317848268877406
795,-2.2881987649291413
796,-2.080758805663493
797,-2.2139944409600605
798,-2.2549106493057423
799,-2.3305692121950576
800,-2.269687649456774
801,-2.376254154461479
802,-2.387849615640339
803,-2.233107865572969
804,-2.300978430373445
805,-2.3628551099959494
806,-2.359991387864828
807,-2.3624168620673682
808,-2.372757891839995
809,-2.3094005882949222
810,-2.3296215359674464
811,-2.3290104768312934
812,-2.2576689722504972
813,-2.276708360047842
814,-2.3336626492085024
815,-2.3538227789418995
816,-2.325442899401999
817,-2.3453808774394815
818,-2.346080771554293
819,-2.2505517909803734
820,-2.288764002445964
821,-2.3532689694762103
822,-2.3318521112304156
823,-2.3403349542392706
824,-2.3604277273364005
825,-2.2063376640454533
826,-2.2435894317599696
827,-2.272881781821551
828,-2.335408592189946
829,-2.339039188877235
830,-2.3162690443837315
831,-2.355394073525992
832,-2.366600417086837
833,-2.35105506665767
834,-2.3653283751769765
835,-2.376102663663582
836,-2.314697575354949
837,-2.3769047621650063
838,-2.360159711665979
839,-2.409647366523398
840,-2.3934791558486834
841,-2.3181249592180553
842,-2.3016404833799555
843,-2.245954350783035
844,-2.343958737287409
845,-2.3155793178765762
846,-2.3450821105488657
847,-2.352173145561178
848,-2.3731477381876998
849,-2.3541701994311737
850,-2.4007742580593154
851,-2.339440860938966
852,-2.3419646034070905
853,-2.337130513089326
854,-2.3368255821254973
855,-2.3777298743056905
856,-2.3720870182133336
857,-2.3532516732935025
858,-2.315111212735996
859,-2.3208439075682223
860,-2.3265012612643794
861,-2.3553175368636046
862,-2.341940723249179
863,-2.3326707835314706
864,-2.348971305276444
865,-2.402882633842407
866,-2.3806424248925184
867,-2.3854166914759345
868,-2.393050728572091
869,-2.374253007251731
870,-2.3962061772241787
871,-2.401130631508377
872,-2.355601574210017
873,-2.3924689958820906
874,-2.4011148423367334
875,-2.384718540949118
876,-2.317880698569496
877,-2.4145720158316393
878,-2.3520381628089044
879,-2.4076846175735955
880,-2.3889755922633467
881,-2.333081579065116
882,-2.4090522863669124
883,-2.3194526637128594
884,-2.344024399682229
885,-2.3477576198972328
886,-2.320474601927709
887,-2.304419726973744
888,-2.3577388430448796
889,-2.3888692172206216
890,-2.214589345903917
891,-2.228121542341942
892,-2.3512544868039607
893,-2.3623313018283763
894,-2.380322740004499
895,-2.3898691460219688
896,-2.250725741458183
897,-2.320940866542145
898,-2.400395555106755
899,-2.393158490681566
900,-2.3678671440640993
901,-2.3479433467956117
902,-2.3874913723518834
903,-2.334035216806513
904,-2.3401190291943132
905,-2.331372518559126
906,-2.404025619613158
907,-2.332668910453809
908,-2.357797631904976
909,-2.349023173536027
910,-2.3970047294853156
911,-2.366194804399474
912,-2.359579102221829
913,-2.351769020517229
914,-2.3337743733650957
915,-2.322584707452486
916,-2.2650005477267303
917,-2.397561986231989
918,-2.322531441151105
919,-2.364967392645364
920,-2.3557406256380435
921,-2.32778528267051
922,-2.272950959427167
923,-2.354081312765277
924,-2.366716045087353
925,-2.3700487542499533
926,-2.332407636106434
927,-2.355011401116314
928,-2.2835233367556707
929,-2.2932158407743746
930,-2.287592359765849
931,-2.366535686857101
932,-2.3981446183127124
933,-2.3823268867681406
934,-2.3547390254257117
935,-2.3662567468498725
936,-2.3512129605297547
937,-2.3271405829111003
938,-2.364540802123379
939,-2.3177205700110375
940,-2.349077405451861
941,-2.375235546398401
942,-2.3532014262796617
943,-2.384910647505673
944,-2.346300958895528
945,-2.3648151690201784
946,-2.3597108567727667
947,-2.3497721770676305
948,-2.36252842406179
949,-2.3518664045229554
950,-2.3850781079193615
951,-2.40180898246722
952,-2.3891969371135824
953,-2.4013639922935757
954,-2.3827160005782595
955,-2.3518370546746077
956,-2.416607901473815
957,-2.378417643703191
958,-2.3632264500081837
959,-2.401364005444225
960,-2.37810442705553
961,-2.343311062156033
962,-2.259251973508466
963,-2.322793799949861
964,-2.256178481883274
965,-2.355757829226583
966,-2.3243290913001324
967,-2.319902227649301
968,-2.3388555220526785
969,-2.2949540034344453
970,-2.351671718528026
971,-2.348933007583895
972,-2.2911440576187
973,-2.224264541634334
974,-2.3139477298219298
975,-2.284404090657331
976,-2.376442779504192
977,-2.3238729328762626
978,-2.358516875908375
979,-2.3150124549879267
980,-2.3057310410437317
981,-2.371338919661101
982,-2.310849044967915
983,-2.363307848703883
984,-2.326316536426518
985,-2.3459812052458298
986,-2.3325693265885232
987,-2.3782281263519254
988,-2.331423644382556
989,-2.3159016414175895
990,-2.349325213922296
991,-2.4152067190671316
992,-2.362289140096016
993,-2.3808623635318433
994,-2.390010915960673
995,-2.3583751995096365
996,-2.3958525647476367
997,-2.3700926713768196
998,-2.3258386620909435
999,-2.3554140263244157
1000,-2.318307020193096
1001,-2.382702839408389
1002,-2.350831470354906
1003,-2.365442563416409
1004,-2.4056104502130555
1005,-2.4038942672103123
1006,-2.2412374722711426
1007,-2.318230585532484
1008,-2.281142802350472
1009,-2.345962349923726
1010,-2.4060342901886114
1011,-2.4079023846206784
1012,-2.337716763912971
1013,-2.4301202709706247
1014,-2.3891672309385736
1015,-2.41125077066764
1016,-2.3482235741321795
1017,-2.406928288374678
1018,-2.3825358687956815
1019,-2.4153498581029957
1020,-2.287375071726285
1021,-2.332475452016106
1022,-2.228197409830288
1023,-2.2894792073549115
1024,-2.4143338249439736
1025,-2.402532789706899
1026,-2.4015950586999524
1027,-2.414329366413749
1028,-2.364594046422769
1029,-2.3639952512539923
1030,-2.3774783013624186
1031,-2.3778522244296623
1032,-2.387582541472465
1033,-2.36854194235402
1034,-2.37777185074544
1035,-2.404064750895317
1036,-2.383100782733318
1037,-2.3805886996851755
1038,-2.396198184214096
1039,-2.388128032293416
1040,-2.346921313259833
1041,-2.367125251276465
1042,-2.39048731363052
1043,-2.390895745008056
1044,-2.3356872733854424
1045,-2.3658347413353322
1046,-2.4205912661056592
1047,-2.2998528730117633
1048,-2.370475687315104
1049,-2.3952641967962967
1050,-2.420534736083173
1051,-2.426493973205627
1052,-2.384078202618192
1053,-2.394770815335138
1054,-2.3880148959902776
1055,-2.3830360769938475
1056,-2.404644391187049
1057,-2.414326491195554
1058,-2.4026099605030047
1059,-2.395983099840006
1060,-2.422230398234234
1061,-2.389201935127815
1062,-2.3890538293017465
1063,-2.3341503113922255
1064,-2.3250166334087163
1065,-2.337480358333184
1066,-2.2676724984351218
1067,-2.2586639518272134
1068,-2.2896370058415068
1069,-2.2854365182326193
1070,-2.416986911762433
1071,-2.334852169842757
1072,-2.3769446200224755
1073,-2.22248296532468
1074,-2.2747416253852593
1075,-2.3024122166084733
1076,-2.176534976398682
1077,-2.2184349328568427
1078,-2.308958490984815
1079,-2.2872322585918035
1080,-2.332320119100169
1081,-2.296256190017114
1082,-2.3440804693908026
1083,-2.388189927821108
1084,-2.2909988055022334
1085,-2.3648534899348728
1086,-2.3865826558575503
1087,-2.3334006561597187
1088,-2.3379989298598867
1089,-2.3508835998683035
1090,-2.306030091045491
1091,-2.3559190839989155
1092,-2.3387859710994494
1093,-2.2885042448346224
1094,-2.3182272538263886
1095,-2.103906372392109
1096,-2.2282195980025183
1097,-2.241714741056017
1098,-2.292579117967006
1099,-2.2031292030525957
1100,-2.231442121677412
1101,-2.2447491756385354
1102,-2.2519957155565553
1103,-2.274126503490488
1104,-2.323228086789885
1105,-2.3232759786268615
1106,-2.2518407262953675
1107,-2.263119463083337
1108,-2.281143103088013
1109,-1.937698086154367
1110,-1.8465361609291353
1111,-1.9711772919581716
1112,-2.026388330730309
1113,-2.19444430439988
1114,-1.9399410500355403
1115,-2.02081497388193
1116,-2.072649254958339
1117,-2.153022743708215
1118,-2.2197381090978636
1119,-2.2017886308112624
1120,-2.241054003415705
1121,-2.181506585572996
1122,-2.2051475477378712
1123,-2.214949458856606
1124,-2.176714986866482
1125,-2.156583854686798
1126,-2.1731050957292464
1127,-2.215673918733832
1128,-2.1101926892880924
1129,-2.145455098413369
