,y_
780,-2.2388503736904672
781,-2.241790883614403
782,-2.2430979921753202
783,-2.248370562734985
784,-2.324529676677703
785,-2.3339449948681987
786,-2.216651407161757
787,-2.3436593788494715
788,-2.307988045617065
789,-2.2718923349924216
790,-2.241073760591644
791,-2.2316008505896217
792,-2.224087563594437
793,-2.244687601635758
794,-2.232936191348294
795,-2.245562829145734
796,-2.2419953341286116
797,-2.182573482303974
798,-2.214795449678602
799,-2.2324784308536065
800,-2.178835455942688
801,-2.1688423139661452
802,-2.1728252892172093
803,-2.2045303631254165
804,-2.1941465081947342
805,-2.2372261652431327
806,-2.236655348383601
807,-2.2340688650150136
808,-2.239017692974916
809,-2.254759793662522
810,-2.2570969183136804
811,-2.233838205556905
812,-2.2667381367955093
813,-2.2463033721550136
814,-2.2483244870596963
815,-2.2384726185375157
816,-2.2411342590336725
817,-2.296449546229528
818,-2.2807189711412503
819,-2.296331333769397
820,-2.1121239046904954
821,-2.3122258312969164
822,-2.235115226339296
823,-2.242292377877646
824,-2.3163818702083208
825,-2.2395574259856565
826,-2.24105956888699
827,-2.0867515494811575
828,-2.179172363492988
829,-2.2106073345504598
830,-2.2237655174861883
831,-2.22355993742538
832,-2.219499620960654
833,-2.2207673398933663
834,-2.2163929925898724
835,-2.202133580740773
836,-2.228808649132401
837,-2.2179278969616165
838,-2.2223294580975055
839,-2.078826480045231
840,-2.0984644240395913
841,-2.2186646698595793
842,-2.250722387372957
843,-2.264621486620253
844,-2.307719516882143
845,-2.31167647000832
846,-2.312560250288791
847,-2.3136386292878504
848,-2.294485676274561
849,-2.2462923629690117
850,-2.245246849613369
851,-2.279364245532949
852,-2.3100166101929154
853,-2.31028139738271
854,-2.3112602797815622
855,-2.3268621584394524
856,-2.2649358599203677
857,-2.296248189771929
858,-2.251776428712112
859,-2.2862240322704768
860,-2.2734268956137624
861,-2.2352637151715378
862,-2.331010173895425
863,-2.3328896558814782
864,-2.2904699220847546
865,-2.273836293663696
866,-2.241114322778891
867,-2.240673200077982
868,-2.353965245159191
869,-2.3163214030786636
870,-2.3461433227396267
871,-2.3621996351130004
872,-2.237177297503809
873,-2.240333323036383
874,-2.2426574817675218
875,-2.2278352987750774
876,-2.2507883716735115
877,-2.2401461278628143
878,-2.2495989657844615
879,-2.37666115468417
880,-2.238487716298655
881,-2.342101179550884
882,-2.319973399003075
883,-2.346141981191982
884,-2.239451258864094
885,-2.2479025856954524
886,-2.3329836644799293
887,-2.336116448934359
888,-2.286893390329656
889,-2.3200526355464985
890,-2.2619698697295085
891,-2.2625974155748967
